motion_energy_first_person,motion_energy_second_person,frames
2825.4748544424815,2407.035480946172,0
3483.502857721548,2531.6698753425276,1
3368.6291191174,3979.00500042644,2
2827.394783382504,2432.0615033773383,3
2980.3591698513624,2452.636000173279,4
2982.484878511364,2293.295204054528,5
2981.7197944051227,2293.859038440212,6
2490.304217280466,2294.5149948574426,7
2978.209092086704,2169.2393748494906,8
2978.8218132697866,2289.6362918134287,9
2568.225117547105,2447.752763891789,10
3000.5610842282404,2488.3183143882466,11
2792.2682264649966,2454.2024827754303,12
2503.329840478666,2191.4406139236894,13
2572.1439137333573,2503.5357156744262,14
2523.9384290746193,2489.115259522547,15
2526.7877239711834,2183.8421405773124,16
2491.0822849319884,2426.6373720049996,17
2981.47706510063,2168.8657610451937,18
2772.2330024297567,2296.4558122539734,19
2679.3653977206345,2455.024725024356,20
2682.372045010815,2194.667049188239,21
2660.834532805947,2430.662609488573,22
2863.8750086439427,2450.270020592354,23
2421.625872823124,2292.123934633087,24
2401.0881026340653,2168.951108213968,25
2866.3993416137014,2186.606463884725,26
2860.066698351618,2290.432875970786,27
2856.5147829039593,2291.326596468495,28
2679.7840781224527,2290.684057740439,29
2859.88625713348,2429.6847012211333,30
2452.5539666168147,2293.346420280884,31
2455.749353554412,2187.388839914256,32
2364.550266442272,2428.4788737185045,33
2857.474819278339,2166.74418491485,34
2708.4939964588057,2293.9167437817073,35
2866.0003560216196,2451.129841621729,36
2921.727500532616,2292.1446608622073,37
2918.347286167545,2292.668087770697,38
2371.817345139261,2296.299884007668,39
2922.267446126645,2173.408733757571,40
2818.7335667742136,2299.029443369501,41
2923.521571649382,2454.750999313986,42
2866.9480563274005,2292.944718325566,43
2673.1046508903155,2295.623085434809,44
2681.0284213455343,2192.6136161546547,45
2658.3123532098057,2431.5125623654085,46
2763.5394404721164,2455.9996720270665,47
2764.0772520179926,2228.4360636278516,48
2825.4809712412066,2397.645125804657,49
2721.2592445103096,2339.3494825751463,50
3125.2356783803702,2279.2952421739,51
3136.886040235421,2352.3690486160194,52
2346.882380643738,2291.272016363844,53
2416.584139270354,2276.374444240007,54
2108.8492066536714,2344.4077038523105,55
2013.764968471351,2285.9360940106285,56
2378.1372417052876,2224.8586733575903,57
2422.0383121827613,2396.2275380047913,58
2845.5035761768027,2173.40882203785,59
2638.524078068268,2303.3170097898983,60
2736.2153726910306,2462.287687149679,61
2732.1017983128086,2244.243838838439,62
2799.483165098176,2407.703010436467,63
2986.9661210909726,2352.9185936823496,64
2839.747624138911,2296.012861709968,65
2840.280145619834,2307.4334326123253,66
2843.1757992763937,2306.911651553511,67
2545.781616257998,2305.876561149178,68
2690.618736972917,2307.962764826042,69
2850.448148116999,2362.98889500733,70
2606.512868699954,2373.606622663956,71
2632.5838505553047,2450.095909147588,72
3136.9425821709747,2443.8962768945753,73
2839.626066335518,2398.7832234808848,74
2543.888806000544,2300.428239331485,75
2602.584126779962,2301.2616432826717,76
2602.803757497826,2389.420839231363,77
2606.190547192453,2345.1364655464695,78
2609.420362670575,2429.8786608025994,79
3187.913414611058,2413.8865979000043,80
2929.206772857614,2452.6908018980453,81
2669.4084010638053,2421.0335881511955,82
2616.164656566723,2157.949545994191,83
2685.744605788775,2421.5036386409033,84
2676.5405331211628,2381.5511022034693,85
2725.533130637164,2389.089068233343,86
2673.4724932655736,2399.3703351808845,87
2638.396523062951,2297.325523374484,88
2637.90649367343,2451.2956455885137,89
2617.271933165534,2466.76128697942,90
2716.324793894402,2203.031777476723,91
2709.406875432551,2447.207515799202,92
2778.2571694844064,2460.951382121303,93
2678.778445103521,2245.021040639221,94
2670.2952363659665,2411.770156851412,95
2832.744663682195,2355.3947533987484,96
2597.7200497536087,2289.3983850154973,97
2623.7130183312865,2366.0515918070682,98
2833.1057030886845,2376.5088240295413,99
615.8975779486792,2454.8556271037173,100
2050.8779880047814,2444.744143917437,101
2591.0147692221562,2402.219906260054,102
2595.5595085001846,1619.0501422835978,103
2595.9302079310837,770.9493341345617,104
3184.804006679675,2347.866417292755,105
2926.249772343201,2426.9566824831686,106
2669.08519310812,2415.878312498384,107
2613.9700764602753,2451.022041022981,108
2681.768538085197,2420.876398497901,109
2115.8545722975764,2154.1457567779967,110
628.4882171276088,2420.245817302475,111
2716.4310847847446,2378.878798594849,112
1913.2028909077374,2388.784414331068,113
3.8310685472654034,2390.6054039321048,114
827.8005345106857,169.73381914939648,115
1840.193259112876,2120.439611034706,116
866.1012661104048,2440.982817168097,117
1799.3978123238542,372.8243525399705,118
910.8252251354606,5.318990981979457,119
2248.707248843789,2087.3220180482085,120
1426.8192711588829,383.5173776549135,121
2708.289108592518,1813.5695313771714,122
2711.6309908040284,654.7143128246149,123
2782.7113185370727,1781.324392028819,124
2678.773537485742,689.4890072008867,125
2673.664343075823,1779.058292330909,126
2834.728947839617,2235.8580344850707,127
904.3975604814962,2401.9276533680186,128
1779.3834100302868,2346.558923899893,129
2631.173649778453,2286.780801172097,130
2836.783111388549,2353.5594030460534,131
2600.955329251598,2369.5055321194495,132
2600.686878432257,1496.3171112192847,133
2593.516394949586,952.7976467104156,134
2595.061874224386,2437.083348276228,135
3181.7479176608704,2397.995308672183,136
2913.9474970692568,2382.1027614893874,137
2660.9075211436425,2340.519047321369,138
2603.998475346324,2420.999592757435,139
2672.058640433114,2401.0625825687575,140
2663.669624157893,2441.5641115768253,141
2712.1042929565297,2404.084072870876,142
2659.547506900928,2138.957788377652,143
2621.7873444655656,2409.0442653348036,144
2632.7572394601566,2373.9684309334593,145
2613.4172320468165,2374.583096713819,146
2714.42726858394,2381.8058066710787,147
2714.513877302645,2281.9229655786908,148
2777.351329897097,2441.3403624112498,149
2672.7048376561393,2455.3730741136774,150
2670.434924680876,2193.0116265313923,151
2834.5190276352228,2434.5757223490305,152
2607.8263664246765,2459.797756985189,153
2632.089798929684,2239.2270048319233,154
2836.0045508219723,2409.9376875073995,155
619.1179484923131,2341.2298989404176,156
5.283475646662722,2278.690315646497,157
2047.993312328278,2354.33138869812,158
618.0565582529621,2369.661290185872,159
7.691689315710394,2466.650026999113,160
6.110353330758001,2458.691487195397,161
3.0886003640952056,2409.1061730111896,162
3.175670765280616,1634.4953070080246,163
2051.42562262474,25.323751839572648,164
618.82247168416,797.553870697488,165
7.626355636337497,1732.2166322674639,166
6.835657603147515,23.0671354051076,167
3.7942786780097233,30.141071908646406,168
5.2996617290362,24.15027060914686,169
6.203951080080427,18.851976022111714,170
6.198251779915752,687.577678858712,171
2050.2600832575013,1847.222216479526,172
2589.7796455276857,19.57284769930252,173
3177.04239171617,25.04414028696333,174
2914.370830152525,26.892876853887078,175
2660.0323376651113,23.108226860807914,176
2603.3560796775146,15.808312933382622,177
2669.2194213009934,19.415909608259923,178
2659.5893266910616,624.7808697274685,179
1389.9768597712841,2438.311207165472,180
1833.1867870471278,2492.3097889824353,181
2660.999794003688,2446.344392343936,182
2624.9274007169774,2197.2035478166,183
2635.6779849999193,2461.32880160475,184
1113.4332971514925,2423.9016973853318,185
9.205449120998129,2427.235946641101,186
11.686581519334336,2434.1507236794228,187
5.329120559245756,2007.9879638874045,188
6.999409893733119,341.09044133929467,189
4.831491334491477,2482.078847813625,190
3.1829705761069302,2501.4807447876324,191
9.19407325625491,2248.7690092804964,192
5.363577739927628,2476.025194820817,193
5.338560182346538,10.673704367049165,194
0.1524116275821367,12.23102230655749,195
6.739277712144756,16.638118438470535,196
3.1326818917128496,12.731600490204489,197
6.0081639396910616,11.31182658250928,198
4.68817002018535,7.809960089125681,199
4.666411471463032,10.586396595533209,200
2.3782156212099395,6.450595835825232,201
2.3597249220748506,6.922476849040373,202
5.350168485119878,5.63903055314739,203
1.68901647137873,6.33994687352347,204
3.1440647021020474,10.646401239778989,205
909.0875815565308,12.206006133313672,206
2269.0742602208275,14.446260160368139,207
867.9778153557507,6.392842536357783,208
3133.3728833096097,11.450685709125485,209
3092.636696984373,3.2235352625609366,210
2419.081692220643,9.842846677914915,211
3.167859794212989,6.428186945577961,212
622.8992533019872,7.884984727604075,213
3092.889990177807,11.499053468062849,214
3078.041935739485,1885.809935489484,215
2703.8168753750665,647.251884717753,216
455.25618106030015,2140.7208432802972,217
3098.4361526579564,2356.9994733534004,218
2793.640366831883,2380.009039169234,219
51.168771822111744,352.87596879290714,220
3121.5712115610854,1.7018924367189354,221
2555.7550883349045,2362.682862096561,222
3169.01477768636,2439.8881654230972,223
614.2856434302485,2446.9766897401796,224
2556.7639562967975,99.9665132967174,225
3167.919611777353,2403.4996721863386,226
614.31064806554,2383.558954087548,227
0.14793158198647485,469.8639638903991,228
4.72024072203812,2407.881299813305,229
3.181030805640785,2371.3070975690002,230
3.174042311475206,1992.0945342371203,231
8.458444077897877,605.4820956047001,232
6.136161002129055,2396.103518568634,233
6.157810601885383,1879.5935148072588,234
10.721122047974774,7.929703423048499,235
6.801793236787686,9.358806882470745,236
0.20596327809368406,14.230734098616626,237
4.637113956522757,10.014889182949972,238
1.6696951750470128,9.097832835954136,239
4.771861025125367,15.092419541670584,240
5.313966552339778,14.450366598677647,241
3.138048686539391,13.458821181438747,242
5.235803888959426,6.394469198017455,243
1.7130859954828233,9.359981860325139,244
14.868003798845354,15.027294920174592,245
0.13190859335327892,17.287079054576157,246
0.12783359759418098,9.943503579713282,247
618.400534557127,7.005069818153175,248
3635.1244780415636,10.50023415105133,249
2511.6612623472483,11.344064968782567,250
0.14577612651153468,11.973267483628844,251
0.13440093431698646,24.11430065698176,252
0.16864688184585544,22.107824592156092,253
535.2544547413078,6.930358117092602,254
2572.1315787694293,6.413390613121894,255
1154.1833846402537,1326.4077229087864,256
2841.098513733843,2743.6774515445118,257
2841.107048388162,991.4579212406611,258
2840.2003794563584,6.955568289458775,259
2542.5198943946584,8.452218702158289,260
2601.095489690094,9.463850862979848,261
2604.0857777318392,1503.7538415093716,262
2603.2472533049495,1061.4479487356634,263
3188.8161895211547,1349.8674787187783,264
2928.2988959472436,2379.814255614905,265
2670.2131648443738,2369.460973959211,266
2619.29796826558,2367.7495530446236,267
2686.489230581244,2388.5889500618437,268
2676.836846317493,2469.994762379349,269
2729.2210598076895,2454.551404098708,270
2676.633289102308,2512.88132302979,271
2640.620217575064,2467.1915022936296,272
2645.670370311767,2189.3371524221984,273
2623.4374797994847,2464.243662347737,274
2721.9046887186014,2414.15085981369,275
2723.4553730267817,2428.670704167917,276
2785.650216501575,2429.7226644705715,277
2687.92642989938,2287.650037766171,278
2681.9137467080886,2447.124664834141,279
2842.1415609963624,2472.245595313665,280
2607.88742652949,2227.316237767174,281
2638.3540132075454,2457.2603564464152,282
2842.0589671914167,2462.4763833672505,283
2599.3267955691194,2227.6937244932333,284
2601.974518126575,2393.188801983356,285
2601.38421050819,2328.251009319611,286
2601.76294744483,2272.8889013115013,287
3190.8720520101633,2342.7052637777174,288
2931.9958298010556,2362.1196126893024,289
2674.1671790091987,2445.034632277505,290
2618.5567821027985,2432.7892433306,291
2687.8691451926798,2393.9131175330813,292
2678.868544900986,2381.0320327058284,293
2733.1934641494495,2328.724821020378,294
2680.7885208284238,2410.4982337832507,295
3667.714402365492,2397.3538706356153,296
3676.8433641364113,2439.8233959776753,297
2623.8254758662365,2400.677195324467,298
2720.9322743711523,2150.120466914114,299
2724.6936006059886,2409.5199602750017,300
2788.661628463901,2371.624566660478,301
2685.395847813445,2374.3768681691363,302
2682.9789557421736,2382.678999827042,303
2838.5929066234858,2279.497749937037,304
2607.7379236863053,2431.6780830398598,305
2637.195153721433,2440.92168623168,306
2839.1175066814308,2185.004057277858,307
2605.8345371270925,2427.4495891217057,308
2601.0561993277283,2446.5627301966765,309
2600.580798429093,2225.3749051694253,310
2596.9383788983832,2392.4981983278335,311
